team,season,week,off_plays,off_epa_per_play,off_success_rate,def_plays,def_epa_per_play_allowed,def_success_allowed,neutral_plays,neutral_pass_plays,neutral_pass_rate,league_neutral_pass_rate,proe,pace_plays,off_epa_per_play_4w,off_success_rate_4w,def_epa_per_play_allowed_4w,def_success_allowed_4w,pace_plays_4w,proe_4w,off_pass_attempts,off_rush_attempts,off_dropbacks
DEN,1999,2,93,-0.06206891384653841,0.41935483870967744,82,0.05079697055022414,0.47560975609756095,32,16,0.5,0.4717741935483871,0.028225806451612878,93,-0.027286304399079937,0.42842741935483875,0.1616065221839705,0.5254761109254928,94.5,0.037887769795432846,44,27,33
DET,1999,2,74,-0.02117040274339701,0.35135135135135137,99,-0.09175620302130497,0.35353535353535354,16,8,0.5,0.4717741935483871,0.028225806451612878,74,-0.025218216945899062,0.3746004068584714,-0.131067672316804,0.3619528619528619,83.5,-0.06341941974705081,26,28,20
GB,1999,2,99,-0.09175620302130497,0.35353535353535354,74,-0.02117040274339701,0.35135135135135137,27,10,0.37037037037037035,0.4717741935483871,-0.10140382317801677,99,-0.034263625208492104,0.40204240204240205,-0.0029435825192554626,0.3509334076344386,95.0,-0.04756196565430265,45,31,42
IND,1999,2,86,0.10398996882246103,0.4418604651162791,104,0.011749525020055959,0.4230769230769231,18,8,0.4444444444444444,0.4717741935483871,-0.027329749103942702,86,0.06558859369370881,0.41058540497193263,-0.06986903984687692,0.40934065934065933,86.5,-0.030825680496964852,36,32,29
JAX,1999,2,102,0.1398560146886419,0.45098039215686275,70,0.1384041978922109,0.44285714285714284,34,14,0.4117647058823529,0.4717741935483871,-0.0600094876660342,102,0.09094961800508011,0.45020929720202685,-0.1282221444801918,0.3609634551495017,95.5,-0.08757908361259706,44,39,35
KC,1999,2,82,0.05079697055022414,0.47560975609756095,93,-0.06206891384653841,0.41935483870967744,28,10,0.35714285714285715,0.4717741935483871,-0.11463133640552997,82,0.018156368088718955,0.4196230598669623,-0.10169298257309073,0.41722458916615945,85.0,-0.05269788975574394,21,42,20
LAC,1999,2,92,0.0011970190961021886,0.41304347826086957,79,-0.4020279526341473,0.379746835443038,19,10,0.5263157894736842,0.4717741935483871,0.05454159592529706,92,0.0011970190961021886,0.41304347826086957,-0.4020279526341473,0.379746835443038,92.0,0.05454159592529706,37,35,35
LV,1999,2,97,0.026801263627168115,0.422680412371134,82,-0.08105478483872597,0.3780487804878049,45,23,0.5111111111111111,0.4717741935483871,0.03933691756272395,97,0.0210422506660271,0.38659793814432986,-0.028912916117202606,0.41429911551862775,97.0,-0.03025281977372818,41,29,34
MIA,1999,2,91,-0.16578677032574893,0.37362637362637363,86,-0.17964009998710997,0.38372093023255816,50,24,0.48,0.4717741935483871,0.00822580645161286,91,0.053314651745983974,0.47448441968989913,-0.08607189746936572,0.4106104651162791,82.0,-0.04989000798234494,36,31,35
MIN,1999,2,82,-0.08105478483872597,0.3780487804878049,97,0.026801263627168115,0.422680412371134,37,24,0.6486486486486487,0.4717741935483871,0.17687445510026156,82,-0.035029953910412095,0.38257277734067663,-0.01822858505409336,0.4180068728522337,87.5,0.11704301199415329,47,15,43
NE,1999,2,104,0.011749525020055959,0.4230769230769231,86,0.10398996882246103,0.4418604651162791,16,9,0.5625,0.4717741935483871,0.09072580645161288,104,0.01532814372006219,0.4258241758241758,0.03615200405335933,0.4098191214470284,94.0,0.051359992017655065,49,26,45
NO,1999,2,87,-0.00018128526176386384,0.40229885057471265,86,0.06678809845683649,0.5,33,14,0.42424242424242425,0.4717741935483871,-0.04753176930596287,87,-0.08449519768840405,0.3557886005450883,-0.12268924211967344,0.4642857142857143,92.0,-0.0944354625277995,39,31,36
NYG,1999,2,83,-0.03511188446458708,0.4457831325301205,94,0.32268573365703584,0.4787234042553192,2,2,1.0,0.4717741935483871,0.5282258064516129,83,-0.1350668425832457,0.37986831045110675,0.013639965421452627,0.41713947990543737,84.5,0.28283726474492776,44,16,39
NYJ,1999,2,70,-0.1383710269616653,0.34285714285714286,96,-0.011339587685098929,0.375,16,6,0.375,0.4717741935483871,-0.09677419354838712,70,-0.08502849383870384,0.3603174603174603,0.0037835873674847463,0.4017857142857143,80.0,0.017054436462099476,39,13,30
PHI,1999,2,83,-0.23347312297408349,0.3132530120481928,81,-0.026242135111991124,0.345679012345679,12,7,0.5833333333333334,0.4717741935483871,0.11155913978494625,83,-0.20204733024688643,0.3649598393574297,-0.05552349339078367,0.35979602791196996,83.5,-0.014012814999888795,45,12,37
PIT,1999,2,101,0.00528025355495011,0.4158415841584158,90,-0.05382542199961453,0.37777777777777777,34,19,0.5588235294117647,0.4717741935483871,0.0870493358633776,101,0.11672975199109416,0.4713136492220651,-0.29513434830103613,0.3593434343434343,106.5,0.01679448399626468,40,31,30
SEA,1999,2,101,-0.04872168251510846,0.31683168316831684,108,-0.0732121521614124,0.37962962962962965,26,12,0.46153846153846156,0.4717741935483871,-0.010235732009925558,101,-0.10955041206370575,0.34360102676934356,-0.051239091654906754,0.3887395459976105,91.0,-0.02835154644388338,40,27,36
SF,1999,2,86,0.06678809845683649,0.5,87,-0.00018128526176386384,0.40229885057471265,35,20,0.5714285714285714,0.4717741935483871,0.09965437788018428,86,-0.164030194197879,0.38953488372093026,0.02093096802987724,0.42586852641095185,86.0,0.031118395378999575,44,23,40
TB,1999,2,81,-0.026242135111991124,0.345679012345679,83,-0.23347312297408349,0.3132530120481928,18,5,0.2777777777777778,0.4717741935483871,-0.19399641577060933,81,-0.16082396896306086,0.3506172839506173,-0.2342474618379939,0.3136032502101429,85.5,-0.10100111909345605,18,43,16
TEN,1999,2,99,0.14894265675264529,0.5050505050505051,64,-0.006408430508825509,0.453125,20,10,0.5,0.4717741935483871,0.028225806451612878,99,0.12482355133971679,0.5246771512594297,0.0690694643407011,0.46488025700934577,89.0,0.04271868766982895,43,34,39
WAS,1999,2,94,0.32268573365703584,0.4787234042553192,83,-0.03511188446458708,0.4457831325301205,11,7,0.6363636363636364,0.4717741935483871,0.16458944281524923,94,0.2448781267256651,0.4893617021276596,0.09838839913718982,0.4641196364404988,95.0,0.09972038162804464,32,38,28
ARI,1999,3,85,-0.10465474921628855,0.3764705882352941,94,0.08868540849086978,0.40425531914893614,12,7,0.5833333333333334,0.5302806499261448,0.053052683407188606,85,-0.1230332336243249,0.37803485398203773,-0.08257429978485617,0.3981827864806588,95.33333333333333,0.012796315504088718,42,26,36
ATL,1999,3,69,-0.1731146601453315,0.391304347826087,76,0.22104164521469638,0.4605263157894737,2,1,0.5,0.5302806499261448,-0.030280649926144765,69,-0.16033071772684476,0.3897403381642512,0.04807054909407138,0.38598930585640967,80.0,-0.058909110852500425,34,21,32
BAL,1999,3,91,-0.08262868630017157,0.42857142857142855,82,-0.16208823238125675,0.3170731707317073,31,13,0.41935483870967744,0.5302806499261448,-0.11092581121646733,91,-0.06822705414989305,0.4031746031746032,-0.07840398941315332,0.36645737744506157,90.5,-0.04716395587079933,31,35,29
BUF,1999,3,92,0.027777941158889242,0.5108695652173914,78,-0.29382297036369376,0.358974358974359,5,2,0.4,0.5302806499261448,-0.13028064992614474,92,-0.0450164170800065,0.42715798694059565,-0.13500225958680082,0.36038061555302936,93.0,-0.08019179059106252,37,35,30
CAR,1999,3,61,0.20773648238845668,0.47540983606557374,96,-0.10611424026986511,0.3125,5,2,0.4,0.5302806499261448,-0.13028064992614474,61,0.011324699194828073,0.4489461358313817,-0.04502244523208915,0.3575862475574422,69.33333333333333,-0.04238489432828393,28,16,24
CHI,1999,3,84,-0.0799136957101402,0.3333333333333333,94,-0.02079533610038499,0.44680851063829785,32,18,0.5625,0.5302806499261448,0.032219350073855235,84,-0.09814763305706521,0.3760191008618681,-0.028000417662759892,0.3757588524809928,99.33333333333333,0.02995964921191178,43,17,37
CIN,1999,3,96,-0.10611424026986511,0.3125,61,0.20773648238845668,0.47540983606557374,10,3,0.3,0.5302806499261448,-0.23028064992614478,96,-0.1211982779045949,0.3896274498205765,0.10321264913711571,0.4775857039315992,94.0,-0.02557577751916712,52,25,46
CLE,1999,3,82,-0.16208823238125675,0.3170731707317073,91,-0.08262868630017157,0.42857142857142855,18,11,0.6111111111111112,0.5302806499261448,0.0808304611849664,82,-0.23497997916418,0.3703690872135994,0.09816440695990397,0.48680254930254935,63.333333333333336,0.07212660509861751,42,19,34
DEN,1999,3,68,-0.13015271238239162,0.3382352941176471,92,-0.18412893537061475,0.3695652173913043,26,12,0.46153846153846156,0.5302806499261448,-0.0687421883876832,68,-0.06157510706018383,0.39836337760910817,0.04636136966577542,0.4735058130807633,85.66666666666667,0.0023444504010608305,31,21,29
DET,1999,3,88,0.04078582845186416,0.45454545454545453,93,0.12347112163901357,0.45161290322580644,20,14,0.7,0.5302806499261448,0.1697193500738552,88,-0.0032168684799779856,0.4012487560874658,-0.0462214076648648,0.3918395423771768,85.0,0.01429350352658452,50,18,40
GB,1999,3,84,0.15293771814500362,0.4523809523809524,84,0.14313214257575155,0.4880952380952381,37,21,0.5675675675675675,0.5302806499261448,0.03728691764142278,84,0.02813682257600647,0.4188219188219188,0.045748325845746875,0.39665401778803844,91.33333333333333,-0.019279004555727508,44,21,40
IND,1999,3,97,0.1162981298378028,0.4536082474226804,91,-0.008102500317047354,0.4175824175824176,46,30,0.6521739130434783,0.5302806499261448,0.1218932631173335,97,0.08249177240840681,0.4249263524555152,-0.04928019333693374,0.4120879120879121,90.0,0.0200806340411346,58,20,53
JAX,1999,3,102,-0.13017867728504431,0.39215686274509803,87,-0.10647662763208718,0.3333333333333333,44,27,0.6136363636363636,0.5302806499261448,0.08335571371021888,102,0.017240186241705303,0.4308584857163839,-0.12097363886415692,0.3517534145441122,97.66666666666667,-0.03060081783832508,50,28,41
KC,1999,3,93,0.12347112163901357,0.45161290322580644,88,0.04078582845186416,0.45454545454545453,18,9,0.5,0.5302806499261448,-0.030280649926144765,93,0.05326128593881716,0.430286340986577,-0.054200045564772426,0.4296648776259245,87.66666666666667,-0.04522547647921088,33,34,30
LA,1999,3,76,0.22104164521469638,0.4605263157894737,69,-0.1731146601453315,0.391304347826087,15,10,0.6666666666666666,0.5302806499261448,0.13638601674052186,76,0.22104164521469638,0.4605263157894737,-0.1731146601453315,0.391304347826087,76.0,0.13638601674052186,28,32,24
LAC,1999,3,91,-0.008102500317047354,0.4175824175824176,97,0.1162981298378028,0.4536082474226804,31,15,0.4838709677419355,0.5302806499261448,-0.04640968218420927,91,-0.003452740610472583,0.4153129479216436,-0.14286491139817226,0.4166775414328592,91.5,0.004065956870543896,45,22,40
LV,1999,3,94,-0.02079533610038499,0.44680851063829785,84,-0.0799136957101402,0.3333333333333333,48,25,0.5208333333333334,0.5302806499261448,-0.009447316592811394,94,0.0070963884105564035,0.4066681289756526,-0.04591317598151514,0.3873105214568629,96.0,-0.023317652046755916,44,27,38
MIN,1999,3,84,0.14313214257575155,0.4880952380952381,84,0.15293771814500362,0.4523809523809524,32,16,0.5,0.5302806499261448,-0.030280649926144765,84,0.024357411584975786,0.41774693092553045,0.03882684934560563,0.4294648993618066,86.33333333333333,0.06793512468738727,37,29,33
NE,1999,3,73,0.07762986510195184,0.4794520547945205,86,0.05411845564185172,0.45348837209302323,36,18,0.5,0.5302806499261448,-0.030280649926144765,73,0.036095384180692074,0.4437001354809574,0.04214082124952346,0.4243755383290267,87.0,0.02414644470305512,29,27,29
NYG,1999,3,86,0.05411845564185172,0.45348837209302323,73,0.07762986510195184,0.4794520547945205,33,19,0.5757575757575758,0.5302806499261448,0.045476925831431037,86,-0.07200507650821321,0.4044083309984123,0.03496993198161903,0.4379103382017984,85.0,0.20371715177376218,42,22,36
NYJ,1999,3,94,0.039130362097226055,0.425531914893617,88,0.14785855144136492,0.4772727272727273,40,18,0.45,0.5302806499261448,-0.08028064992614475,94,-0.043642208526727205,0.3820556118428459,0.05180857539211147,0.42694805194805197,84.66666666666667,-0.015390592333981934,37,31,37
PHI,1999,3,78,-0.29382297036369376,0.358974358974359,92,0.027777941158889242,0.5108695652173914,5,2,0.4,0.5302806499261448,-0.13028064992614474,78,-0.2326392102858222,0.36296467922973946,-0.027756348540892695,0.41015387368044376,81.66666666666667,-0.052768759975307444,44,10,39
PIT,1999,3,89,-0.2927171821511846,0.4044943820224719,90,-0.024425354739927817,0.3888888888888889,4,2,0.5,0.5302806499261448,-0.030280649926144765,89,-0.019752559389665424,0.449040560155534,-0.20489801711400005,0.3691919191919191,100.66666666666667,0.0011027726887948657,46,18,42
SEA,1999,3,90,-0.024425354739927817,0.3888888888888889,89,-0.2927171821511846,0.4044943820224719,0,0,,0.5302806499261448,,90,-0.08117539295577976,0.35869698080919205,-0.13173178848699937,0.3939911580058976,90.66666666666667,-0.02835154644388338,32,33,30
SF,1999,3,94,0.08868540849086978,0.40425531914893614,85,-0.10465474921628855,0.3764705882352941,18,7,0.3888888888888889,0.5302806499261448,-0.14139176103725587,94,-0.07979165996829607,0.3944416955302656,-0.02093093771884469,0.4094025470190659,88.66666666666667,-0.026384990093085574,35,30,30
TB,1999,3,92,-0.18412893537061475,0.3695652173913043,68,-0.13015271238239162,0.3382352941176471,42,19,0.4523809523809524,0.5302806499261448,-0.07789969754519238,92,-0.16859229109891216,0.3569332617641796,-0.19954921201945983,0.3218139315126443,87.66666666666667,-0.09330064524403482,35,34,25
TEN,1999,3,87,-0.10647662763208718,0.3333333333333333,102,-0.13017867728504431,0.39215686274509803,31,18,0.5806451612903226,0.5302806499261448,0.050364511364177855,87,0.0477234916824488,0.4608958786173976,0.0026534171321192976,0.44063912558792984,88.33333333333333,0.04526729556794525,37,22,34
WAS,1999,3,88,0.14785855144136492,0.4772727272727273,94,0.039130362097226055,0.425531914893617,36,20,0.5555555555555556,0.5302806499261448,0.025274905629410815,88,0.21253826829756506,0.4853320438426822,0.07863572012386856,0.4512570625915382,92.66666666666667,0.07490522296183337,34,27,30
ARI,1999,4,87,-0.3246105521120601,0.2988505747126437,86,-0.007920198831591735,0.4186046511627907,2,1,0.5,0.5134408602150538,-0.013440860215053752,87,-0.1734275632462587,0.35823878416468924,-0.06391077454654007,0.4032882526511918,93.25,0.0062370215743031004,46,19,39
ATL,1999,4,105,-0.16786347444364907,0.29523809523809524,91,-0.07098638026837549,0.2857142857142857,48,25,0.5208333333333334,0.5134408602150538,0.007392473118279619,105,-0.16221390690604584,0.3661147774327122,0.018306316753459662,0.36092055082087865,86.25,-0.042333714859805416,48,27,45
BAL,1999,4,91,-0.07098638026837549,0.2857142857142857,105,-0.16786347444364907,0.29523809523809524,31,11,0.3548387096774194,0.5134408602150538,-0.15860215053763438,91,-0.06914682952272054,0.36402116402116397,-0.10822381775665191,0.34271761670940615,90.66666666666667,-0.08431002075974435,33,33,32
BUF,1999,4,85,-0.09693726259449974,0.3176470588235294,97,-0.1692330795173707,0.422680412371134,30,14,0.4666666666666667,0.5134408602150538,-0.04677419354838708,85,-0.05799662845862981,0.39978025491132907,-0.1435599645694433,0.37595556475755554,91.0,-0.07183739133039366,33,22,26
CAR,1999,4,99,0.15787163582128963,0.4444444444444444,98,0.12840121119470246,0.46938775510204084,21,14,0.6666666666666666,0.5134408602150538,0.15322580645161288,99,0.04796143335144346,0.4478207129846474,-0.0016665311253912518,0.3855366244435919,76.75,0.006517780866690276,51,21,50
CHI,1999,4,94,-0.11469102544151973,0.39361702127659576,96,-0.13820914015966607,0.3333333333333333,29,16,0.5517241379310345,0.5134408602150538,0.038283277715980724,94,-0.10228348115317884,0.38041858096555003,-0.055552598286986436,0.3651524726940779,98.0,0.032040556337929016,55,22,46
CIN,1999,4,95,-0.19193639398479806,0.3157894736842105,74,0.18966309397438127,0.4864864864864865,13,7,0.5384615384615384,0.5134408602150538,0.025020678246484684,95,-0.1388828069246457,0.37116795578648504,0.1248252603464321,0.4798108995703211,94.25,-0.012926663577754169,48,22,43
CLE,1999,4,69,-0.2128730177011397,0.42028985507246375,111,0.0012778926767850957,0.4144144144144144,25,11,0.44,0.5134408602150538,-0.07344086021505375,69,-0.22945323879841995,0.38284927917831546,0.07394277838912426,0.4687055155805156,64.75,0.023604116660727092,35,18,32
DAL,1999,4,86,-0.007920198831591735,0.4186046511627907,87,-0.3246105521120601,0.2988505747126437,9,3,0.3333333333333333,0.5134408602150538,-0.18010752688172044,86,0.04538120298566365,0.40380187303329157,-0.13405303053920456,0.3878113026819923,95.66666666666667,-0.05430594862557112,26,36,19
DEN,1999,4,86,-0.13942035820334758,0.37209302325581395,92,-0.01797828608063523,0.44565217391304346,30,18,0.6,0.5134408602150538,0.08655913978494623,86,-0.08103641984597476,0.3917957890207846,0.030276455729172758,0.46654240328883334,85.75,0.02339812274703218,42,26,37
JAX,1999,4,83,-0.039825697502913704,0.3493975903614458,89,-0.21201344557417814,0.3258426966292135,33,15,0.45454545454545453,0.5134408602150538,-0.05889540566959922,83,0.002973715305550552,0.4104932618776494,-0.14373359054166224,0.34527573506538756,94.0,-0.037674464796143614,31,30,24
KC,1999,4,108,-0.22053993876649827,0.3333333333333333,70,-0.26073988953816646,0.32857142857142857,37,17,0.4594594594594595,0.5134408602150538,-0.05398140075559427,108,-0.015189020237511702,0.40604808907326606,-0.10583500655812093,0.4043915153623005,92.75,-0.04741445754830673,44,43,40
